r3Ptstat,3PtStat,collegeServicableShooter,age,height,Oposs,avgPosition,avgRole,PlusMinus,usg,efg,ts,dunks,dunkAtts,close2,close2Atts,close2Pct,far2,far2Atts,far2Pct,ft,ftAtts,ftPct,2p,2pAtt,2pPct,3pr,3p,3Pp100,3pAtts,3PAp100,3pPct,N1Sage,N1Susg,N1Sefg,N1Sts,N1Sdunks,N1SdunkAtts,N1Sclose2,N1Sclose2Atts,N1Sclose2Pct,N1Sfar2,N1Sfar2Atts,N1Sfar2Pct,N1Sft,N1SftAtts,N1SftPct,N1S2p,N1S2pAtt,N1S2pPct,N1S3pr,N1S3p,N1S3pAtts,N1S3pPct,N2Sage,N2Susg,N2Sefg,N2Sts,N2Sdunks,N2SdunkAtts,N2Sclose2,N2Sclose2Atts,N2Sclose2Pct,N2Sfar2,N2Sfar2Atts,N2Sfar2Pct,N2Sft,N2SftAtts,N2SftPct,N2S2p,N2S2pAtt,N2S2pPct,N2S3pr,N2S3p,N2S3pAtts,N2S3pPct,OBPR,BPR,Box OBPR,Box BPR,AdjTeamOffEff,AdjTeamEffmargin
0.482562846,0.268105187,FALSE,18,81,1739,5,2,153,24.2,57.7,62.9,26,30,134,193,0.694,53,124,0.427,154,199,0.774,187,317,0.59,5.9,5,0.287521564,20,1.150086256,0.25,18,24.2,57.7,62.9,26,30,134,193,0.694,53,124,0.427,154,199,0.774,187,317,0.59,5.9,5,20,0.25,18,24.2,57.7,62.9,26,30,134,193,0.694,53,124,0.427,154,199,0.774,187,317,0.59,5.9,5,20,0.25,2.72,4.47,1.75,2.53,104.4,14.9
0.248555024,0.42869985,FALSE,19,75,1971,1.6,1,100,29.5,51.6,54.1,21,24,169,247,0.684,36,137,0.263,167,283,0.59,205,384,0.534,12.3,14,0.71029934,54,2.739726027,0.259,18,26.9,49.4,53.1,18,19,115,178,0.646,52,157,0.331,132,205,0.644,167,338,0.494,12.7,16,49,0.327,17,24.5,44.7,48.7,8,8,62,100,0.62,13,62,0.21,75,133,0.564,76,162,0.469,4.7,0,8,0,2.66,3.82,2.6,3.41,109.1,4.8
0.575593259,0.44163051,FALSE,21,80,1733,4.5,2.3,398,21.6,57.2,59.3,28,33,129,179,0.721,23,71,0.324,82,123,0.667,152,250,0.608,16.7,13,0.750144259,50,2.885170225,0.26,20,20.1,62.2,65.2,24,28,124,173,0.717,12,38,0.316,93,127,0.732,136,211,0.645,11.3,8,27,0.296,20,20.1,62.2,65.2,24,28,124,173,0.717,12,38,0.316,93,127,0.732,136,211,0.645,11.3,8,27,0.296,4.22,8.31,3.11,5.39,111.1,22.2
0.544450457,0.23881206,FALSE,22,80,1875,5,2,644,24,69.3,69.9,60,61,192,241,0.797,61,118,0.517,109,157,0.694,253,359,0.705,4,4,0.213333333,15,0.8,0.267,20,25.1,58.5,58.7,40,43,141,201,0.701,65,151,0.43,75,131,0.573,206,352,0.585,0.8,1,3,0.333,19,17.6,62.5,61.9,21,21,74,96,0.771,22,54,0.407,50,88,0.568,96,150,0.64,3.8,1,6,0.167,4.06,7.24,3.8,5.42,124.6,41
0.461524431,0.640390281,FALSE,21,77,1043,2.9,2.6,144,22.1,45.7,48.8,14,15,48,89,0.539,14,39,0.359,44,70,0.629,62,128,0.484,31.9,16,1.534036433,60,5.752636625,0.267,20,21.5,51.5,55.9,18,23,90,144,0.625,11,53,0.208,90,121,0.744,101,197,0.513,32.5,33,95,0.347,20,21.5,51.5,55.9,18,23,90,144,0.625,11,53,0.208,90,121,0.744,101,197,0.513,32.5,33,95,0.347,2.61,5.73,1.64,3.45,110,22.2
0.310314034,0.642860455,FALSE,20,80,2001,3.2,1.3,7,33.6,54.8,57.4,37,37,192,251,0.765,120,286,0.42,156,226,0.69,311,536,0.58,17.8,31,1.549225387,116,5.797101449,0.267,19,18.5,64.5,63.8,14,14,107,142,0.754,65,130,0.5,39,72,0.542,172,272,0.632,9,14,27,0.519,19,18.5,64.5,63.8,14,14,107,142,0.754,65,130,0.5,39,72,0.542,172,272,0.632,9,14,27,0.519,4.27,5.03,2.66,3.34,111.6,9.9
0.524621864,0.573009263,FALSE,18,78,1146,4.3,3.7,198,24,50.5,55.1,35,38,86,126,0.683,31,95,0.326,77,100,0.77,117,221,0.529,19,14,1.221640489,52,4.537521815,0.269,18,24,50.5,55.1,35,38,86,126,0.683,31,95,0.326,77,100,0.77,117,221,0.529,19,14,52,0.269,18,24,50.5,55.1,35,38,86,126,0.683,31,95,0.326,77,100,0.77,117,221,0.529,19,14,52,0.269,3.19,5.4,1.73,2.96,117.4,29.6
0.899555446,0.540426049,FALSE,18,77,1207,2.3,2.4,76,27.3,47.4,51.7,15,20,54,93,0.581,44,106,0.415,71,101,0.703,97,198,0.49,19.5,13,1.077050539,48,3.976801988,0.271,18,27.3,47.4,51.7,15,20,54,93,0.581,44,106,0.415,71,101,0.703,97,198,0.49,19.5,13,48,0.271,18,27.3,47.4,51.7,15,20,54,93,0.581,44,106,0.415,71,101,0.703,97,198,0.49,19.5,13,48,0.271,0.58,2.33,1.05,2.09,104.6,16.5
0.151320851,0.632368047,FALSE,18,83,1164,5,2.9,101,23.8,48.8,55.6,11,13,40,54,0.741,60,141,0.426,94,112,0.839,100,195,0.513,24.1,17,1.4604811,62,5.326460481,0.274,18,23.8,48.8,55.6,11,13,40,54,0.741,60,141,0.426,94,112,0.839,100,195,0.513,24.1,17,62,0.274,18,23.8,48.8,55.6,11,13,40,54,0.741,60,141,0.426,94,112,0.839,100,195,0.513,24.1,17,62,0.274,0.89,4.32,1.47,3.89,100,8.1
0.712039325,0.76417857,FALSE,19,79,1877,3.4,2.6,-102,26.2,45.3,53.3,18,19,91,162,0.562,29,89,0.326,162,195,0.831,120,251,0.478,36.8,40,2.131060202,146,7.778369739,0.274,19,26.2,45.3,53.3,18,19,91,162,0.562,29,89,0.326,162,195,0.831,120,251,0.478,36.8,40,146,0.274,19,26.2,45.3,53.3,18,19,91,162,0.562,29,89,0.326,162,195,0.831,120,251,0.478,36.8,40,146,0.274,0.68,1.17,0.53,0.89,102.9,4.8
0.636396103,0.508944509,FALSE,19,83,1489,5,3,82,21.5,56.7,59.3,65,68,109,143,0.762,23,75,0.307,81,119,0.681,132,219,0.603,18.9,14,0.940228341,51,3.425117529,0.275,19,21.5,56.7,59.3,65,68,109,143,0.762,23,75,0.307,81,119,0.681,132,219,0.603,18.9,14,51,0.275,19,21.5,56.7,59.3,65,68,109,143,0.762,23,75,0.307,81,119,0.681,132,219,0.603,18.9,14,51,0.275,2.04,5.33,1.74,4.46,107.2,19
0.57898506,0.521098825,FALSE,19,81,1114,1.6,1.3,165,25.3,53.1,54.8,19,21,61,89,0.685,26,66,0.394,41,66,0.621,87,155,0.561,20.5,11,0.987432675,40,3.590664273,0.275,19,25.3,53.1,54.8,19,21,61,89,0.685,26,66,0.394,41,66,0.621,87,155,0.561,20.5,11,40,0.275,19,25.3,53.1,54.8,19,21,61,89,0.685,26,66,0.394,41,66,0.621,87,155,0.561,20.5,11,40,0.275,3.72,6.08,3.08,4.7,109.8,13.5
